latitude	longitude	zipcode	category
43.082197	-75.361425	13323	SR
43.220793	-75.480858	13440	SR
43.013308	-75.037418	13357	V
43.076504	-75.644023	13421	K
43.048047	-75.380704	13323	ST
43.092948	-75.276656	13413	K
43.044457	-74.859832	13365	CC
43.062418	-75.603251	13421	ER
43.204693	-75.456916	13440	ST
43.097792	-75.303486	13413	R
43.228389	-75.492635	13440	M
43.023736	-74.991872	13350	CC
43.048381	-75.379377	13323	ER
43.0758	-75.683964	13421	SR
43.09074	-75.320666	13413	ST
43.096431	-75.623367	13421	U
43.096519	-75.650024	13421	V
43.093818	-75.277524	13413	K
43.027469	-74.988715	13350	ER
43.236409	-75.437453	13440	SR
43.050446	-75.335794	13323	MF
43.082754	-75.315607	13413	ST
43.094593	-75.651927	13421	K
43.096071	-75.6523	13421	K
43.208647	-75.45237	13440	K
43.208724	-75.47484	13440	ST
43.044346	-74.85964	13365	R
43.01449	-75.039568	13340	SR
43.097172	-75.299549	13417	ER
43.017047	-74.802798	13365	K
43.027339	-74.913194	13365	ER
43.206804	-75.456943	13440	K
43.185773	-75.479044	13440	M
43.21407	-75.467452	13440	G
43.079918	-75.643764	13421	G
43.20428	-75.437703	13440	SR
43.074024	-75.287016	13413	ST
43.044629	-74.85667	13365	SR
43.080405	-75.335353	13413	CC
43.09262	-75.314319	13413	ER
43.097256	-75.296919	13417	CC
43.213591	-75.454281	13440	ST
43.091014	-75.649884	13421	CC
43.0771	-75.643848	13421	ST
43.102198	-75.293912	13417	K
43.027228	-74.985864	13350	V
43.078652	-75.640706	13421	ST
43.082928	-75.315824	13413	K
43.222253	-75.482295	13440	ST
43.025492	-74.984206	13350	ST
43.016134	-75.033704	13357	G
43.015151	-75.036261	13357	CC
43.027575	-74.978594	13350	ST
43.05658	-75.259863	13413	V
43.021114	-74.992364	13350	WT
43.08296	-75.314736	13413	ST
43.09628	-75.303285	13413	ST
43.000271	-75.14946	13340	SR
43.040938	-74.858636	13365	K
43.221221	-75.450868	13440	CC
43.027891	-74.978736	13350	G
43.08261	-75.323993	13413	SR
43.110161	-75.28692	13417	CC
43.094829	-75.652248	13421	R
43.084713	-75.32124	13413	ST
43.015175	-75.03625	13357	CC
43.216283	-75.45771	13440	V
43.208974	-75.45322	13440	K
43.203866	-75.458624	13440	ER
43.07791	-75.658393	13421	CC
43.071223	-75.378575	13323	ER
43.016865	-75.047236	13357	ER
43.047878	-75.381206	13323	K
43.082054	-75.317754	13413	WT
43.10721	-75.282637	13417	ST
43.055343	-75.279268	13413	U
43.026336	-74.883366	13365	SR
43.076009	-75.641995	13421	ST
43.0767	-75.294474	13413	ST
43.247998	-75.523728	13440	SR
43.076502	-75.64405	13421	K
43.053369	-75.277206	13413	K
43.083724	-75.307036	13413	ER
43.240509	-75.437826	13440	G
43.22741	-75.490811	13440	ST
43.202941	-75.439629	13440	M
43.04806	-75.379361	13323	ST
43.21614	-75.457548	13440	CC
43.210461	-75.453098	13440	M
43.094982	-75.652254	13421	K
43.097276	-75.296825	13417	ST
43.134994	-75.441953	13440	V
43.02742	-74.983481	13350	CC
43.235945	-75.454748	13440	V
43.09006	-75.302139	13417	MF
43.216587	-75.468877	13440	ST
43.204265	-75.432065	13440	K
43.207778	-75.463545	13440	ST
43.101514	-75.294388	13417	SR
43.061362	-74.859601	13365	ER
43.044383	-74.986634	13350	M
43.027531	-74.979534	13350	ST
43.044745	-74.848962	13365	G
43.095703	-75.651387	13421	ST
43.040711	-75.391293	13323	CC
43.219477	-75.476361	13440	U
43.076713	-75.64401	13421	ER
43.03393	-74.987924	13350	G
43.072992	-75.294399	13413	V
43.075962	-75.644007	13421	ST
43.224865	-75.455062	13440	CC
43.015764	-75.034804	13357	K
43.18445	-75.333045	13403	K
43.233837	-75.436333	13440	ST
43.079914	-75.390144	13323	SR
43.078369	-75.648129	13421	SR
43.219045	-75.478843	13440	ST
43.050316	-75.379381	13323	ST
43.218462	-75.45528	13440	CC
43.212739	-75.46221	13440	M
43.042071	-74.859564	13365	AS
43.217012	-75.457005	13440	M
43.025137	-74.985366	13350	SR
43.027981	-75.059118	13340	CC
43.076264	-75.685812	13421	R
43.08542	-75.119625	13340	ST
43.237831	-75.456264	13440	ST
43.023076	-74.988887	13350	ST
43.132597	-75.255648	13403	SR
43.088184	-75.316385	13413	R
43.093297	-75.275095	13413	V
43.049634	-75.378709	13323	SR
43.223206	-75.420297	13440	G
43.061544	-75.282828	13413	SR
43.022346	-75.051631	13357	U
43.139949	-75.276076	13403	SR
43.040196	-75.391489	13323	SR
43.258644	-75.46138	13440	K
43.217197	-75.342504	13440	CC
43.017085	-74.802861	13365	K
43.025238	-74.987059	13350	K
43.190858	-75.57213	13440	SR
43.078926	-75.651636	13421	R
42.930557	-75.112745	13357	G
43.219529	-75.324356	13440	G
43.006853	-75.256717	13456	R
43.21337	-75.474217	13440	ST
43.139729	-75.276477	13403	M
43.018441	-75.042867	13357	R
43.212724	-75.460936	13440	K
43.216198	-75.454162	13440	CC
43.210545	-75.460443	13440	ST
43.077088	-75.310336	13413	ST
43.096614	-75.650965	13421	K
43.04976	-75.377781	13323	ST
43.014314	-75.037379	13357	X
43.087666	-75.648097	13421	V
43.214038	-75.465196	13440	SR
43.185465	-75.259518	13403	WT
43.043567	-74.857684	13365	G
43.239905	-75.438083	13440	K
43.091621	-75.315673	13413	SR
43.090272	-75.649601	13421	CC
43.139079	-75.714179	13421	ER
43.023081	-74.988919	13350	K
43.020208	-74.992498	13350	ER
43.043478	-74.859466	13365	M
43.0391	-75.069149	13340	X
43.214025	-75.458002	13440	M
43.085011	-75.321374	13413	ER
43.078377	-75.290578	13413	SR
43.078934	-75.652736	13421	CC
43.076151	-75.643982	13421	R
43.097226	-75.655605	13421	ST
43.208508	-75.459393	13440	CC
43.226528	-75.509944	13440	SR
43.138735	-75.276518	13403	K
43.075927	-75.64215	13421	K
43.016487	-74.878684	13365	SR
43.063635	-75.260564	13413	R
43.047454	-75.382429	13323	R
43.106805	-75.664864	13421	ST
43.183937	-75.488889	13440	SR
43.080351	-75.3915	13323	K
43.231111	-75.442336	13440	CC
43.213563	-75.45828	13440	CC
43.017869	-75.176536	13340	SR
43.199049	-75.448671	13440	ER
43.093823	-75.307566	13413	MF
43.015825	-75.03685	13357	K
43.026229	-75.271131	13456	ST
43.073487	-75.294994	13413	K
43.059528	-74.769275	13365	SR
43.085281	-75.17064	13340	V
43.080129	-75.641936	13421	R
43.257196	-75.461809	13440	ST
43.090772	-75.651936	13421	V
43.217584	-75.558983	13440	V
43.046002	-74.860104	13365	V
43.223209	-75.483869	13440	ST
43.229952	-75.495379	13440	K
43.002906	-75.255952	13456	ST
43.076056	-75.641876	13421	K
43.087264	-75.314979	13413	ST
43.207523	-75.450298	13440	K
43.055508	-75.271649	13413	WT
43.037146	-75.071653	13340	ER
43.095328	-75.318128	13413	G
43.208719	-75.474855	13440	ST
43.235688	-75.50106	13440	ST
43.024815	-74.980334	13350	V
43.053674	-75.277639	13413	M
43.087656	-75.16591	13340	SR
43.091539	-75.276708	13413	CC
43.044522	-74.855589	13365	X
43.062922	-75.272303	13413	K
43.074288	-75.28821	13413	K
43.026882	-74.943541	13350	SR
43.074584	-75.301146	13413	CC
43.057222	-74.857768	13365	SR
43.054647	-75.271747	13413	K
43.043903	-74.860446	13365	ST
43.076389	-75.644002	13421	G
43.096117	-75.651755	13421	ST
43.093093	-75.279197	13413	CC
43.231684	-75.437282	13440	ST
43.097264	-75.296912	13417	R
43.257193	-75.461857	13440	MF
43.07293	-75.287175	13413	CC
43.130378	-75.24693	13403	M
43.047956	-75.378559	13323	V
43.078201	-75.691724	13421	ST
43.077135	-75.309979	13413	K
43.093132	-75.279209	13413	CC
43.079302	-75.31798	13413	K
43.059626	-75.083453	13340	MF
43.049207	-75.380172	13323	R
43.097193	-75.651781	13421	V
43.054327	-75.279185	13413	CC
43.026482	-74.998289	13350	K
43.024761	-74.990078	13350	ER
43.08378	-75.339507	13323	ST
43.085357	-75.668566	13421	CC
43.073324	-75.288588	13413	ST
43.207066	-75.449087	13440	ST
43.138022	-75.263903	13403	V
43.053792	-75.376905	13323	ER
43.025471	-74.981044	13350	K
43.221874	-75.424267	13440	SR
43.136104	-75.267141	13403	ST
43.078528	-75.688982	13421	CC
43.095592	-75.651871	13421	ST
43.016582	-75.035237	13357	G
43.077642	-75.643896	13421	SR
43.240621	-75.470172	13440	SR
43.07907	-75.6464	13421	M
43.07557	-75.690893	13421	R
43.054002	-75.279525	13413	CC
43.040603	-75.083185	13340	ST
43.083147	-75.326395	13413	SR
43.23115	-75.443408	13440	CC
43.100635	-75.295273	13417	ST
43.081906	-75.321971	13413	K
43.073838	-75.320855	13413	SR
43.041996	-75.064271	13340	SR
43.078509	-75.644915	13421	SR
43.136067	-75.262675	13403	ST
43.068319	-75.347543	13323	G
43.248798	-75.382913	13440	ER
43.060469	-75.2558	13413	ER
43.077161	-75.296034	13413	ST
43.0903	-75.315394	13413	ST
43.041795	-74.861676	13365	K
43.033562	-74.98341	13350	M
43.025301	-74.987032	13350	K
43.028392	-75.059526	13340	K
43.231309	-75.443386	13440	CC
43.059173	-75.361784	13323	CC
43.073479	-75.28681	13413	U
43.225985	-75.488861	13440	SR
43.014156	-75.038898	13357	V
43.097044	-75.302518	13413	ST
43.088202	-75.316425	13413	G
43.041994	-75.387076	13323	G
43.095751	-75.651708	13421	ST
43.073165	-75.293525	13413	CC
43.22398	-75.445909	13440	ER
43.218193	-75.45941	13440	CC
43.060555	-75.652761	13421	ER
43.071771	-75.647883	13421	SR
43.092973	-75.278885	13413	CC
43.0924	-75.65075	13421	SR
43.096087	-75.305269	13413	K
43.108906	-75.28853	13417	ER
43.082686	-75.149697	13340	ST
43.078465	-75.642838	13421	K
43.039631	-75.388486	13323	V
43.039625	-75.391673	13323	SR
43.082521	-75.324865	13413	K
43.099495	-75.614034	13421	MF
43.079098	-75.658047	13421	V
43.042792	-74.861078	13365	ST
43.091718	-75.6503	13421	CC
43.077919	-75.658411	13421	CC
43.230476	-75.438014	13440	K
43.002608	-75.257702	13456	CC
43.103847	-75.299043	13417	SR
43.073025	-75.288079	13413	K
43.040466	-74.859992	13365	ST
43.161886	-75.296307	13403	ER
43.227399	-75.491285	13440	SR
43.23884	-75.504707	13440	M
43.080438	-75.321041	13413	ST
43.044276	-74.857328	13365	ER
42.977137	-74.823375	13365	ER
43.049635	-75.379104	13323	R
43.078034	-75.687725	13421	R
43.075547	-75.690932	13421	SR
43.020621	-74.991144	13350	K
43.216222	-75.470286	13440	ST
43.075582	-75.297535	13413	ST
43.166798	-75.291686	13403	K
43.212931	-75.4578	13440	V
43.005644	-75.25582	13456	G
43.082585	-75.383827	13323	SR
43.082274	-75.316078	13413	ST
43.025875	-74.985619	13350	M
43.085593	-75.320255	13413	ST
43.0927	-75.312866	13413	CC
43.216854	-75.474285	13440	CC
43.087004	-75.313158	13413	M
43.212425	-75.464474	13440	ST
43.073537	-75.343467	13413	CC
43.047918	-75.384259	13323	SR
43.041048	-75.068778	13340	K
43.0952	-75.306218	13413	ST
43.094267	-75.306877	13413	R
43.082358	-75.315692	13413	ST
43.182534	-75.430305	13440	M
43.212909	-75.466378	13440	R
43.08102	-75.400407	13323	CC
43.104773	-75.65308	13421	CC
43.211945	-75.457252	13440	ER
43.215375	-75.462111	13440	SR
43.220102	-75.332437	13440	X
43.079195	-75.645579	13421	K
42.99788	-75.051969	13357	SR
43.042353	-74.861268	13365	ST
43.214784	-75.466455	13440	SR
43.093956	-75.307722	13413	K
43.21925	-75.461471	13440	K
43.090987	-75.278254	13413	K
43.088421	-75.311533	13413	ST
43.092834	-75.30881	13413	ST
43.210416	-75.460233	13440	M
43.04617	-74.984926	13350	SR
43.057519	-75.160024	13340	SR
43.046006	-75.379793	13323	V
43.213947	-75.455887	13440	V
43.040095	-75.670737	13421	ST
43.027415	-74.983515	13350	CC
43.257647	-75.461977	13440	V
43.095241	-75.651191	13421	K
43.095263	-75.312424	13413	ST
43.077632	-75.643913	13421	ST
43.069493	-75.344079	13413	ST
43.217001	-75.453681	13440	ER
43.23202	-75.496128	13440	SR
43.027173	-74.946174	13350	SR
43.073576	-75.291774	13413	CC
43.082539	-75.32411	13413	ST
43.220826	-75.424323	13440	K
43.094081	-75.651529	13421	R
43.025411	-74.981905	13350	ST
43.223306	-75.484685	13440	SR
43.200814	-75.37575	13440	K
43.079473	-75.641231	13421	ST
43.088233	-75.311152	13413	SR
43.244387	-75.455076	13440	K
43.092521	-75.312658	13413	CC
43.178258	-75.013857	13440	SR
43.004617	-74.844408	13365	SR
42.961997	-75.315594	13456	SR
43.096458	-75.621329	13421	WT
43.020079	-74.990769	13350	SR
42.987054	-75.258696	13456	ER
43.046544	-75.266513	13413	ST
43.104831	-75.295367	13417	G
43.207219	-75.449576	13440	ST
43.054694	-75.271777	13413	K
43.027596	-74.989734	13350	CC
43.022571	-74.993809	13350	R
43.208728	-75.455947	13440	ST
43.224416	-75.486319	13440	K
43.090195	-75.658182	13421	V
43.133212	-75.260518	13403	ER
43.043927	-74.858375	13365	K
43.093491	-75.653346	13421	ST
43.215483	-75.452713	13440	K
43.081708	-75.315728	13413	ST
43.043374	-75.385594	13323	ST
42.976644	-75.305252	13456	ER
43.013157	-75.0387	13357	V
43.028871	-74.988189	13350	M
43.144311	-75.29021	13403	X
43.080784	-75.635578	13421	ER
43.139947	-75.276032	13403	P
42.996471	-75.09684	13340	SR
43.023698	-74.988572	13350	K
43.082603	-75.315883	13413	ST
43.052816	-74.853179	13365	SR
43.093115	-75.279204	13413	CC
43.099022	-75.303035	13417	SR
43.231845	-75.440741	13440	CC
43.045694	-75.36789	13323	SR
43.027149	-74.946138	13350	ST
43.075687	-75.689666	13421	SR
43.091527	-75.276669	13413	SR
43.073167	-75.293532	13413	CC
43.039086	-74.865786	13365	SR
43.044694	-75.060721	13340	SR
43.236485	-75.45412	13440	SR
42.975975	-75.071469	13357	SR
43.15776	-75.286372	13403	SR
43.016672	-75.038465	13357	U
43.232345	-75.492691	13440	ST
43.238652	-75.504781	13440	ST
43.083905	-75.327584	13413	ST
43.206644	-75.447562	13440	NN
43.014598	-75.035295	13357	ST
43.008438	-75.037483	13357	SR
