latitude	longitude	zipcode	category
43.213752	-75.464407	13440	K
43.082282	-75.315262	13413	ST
43.000171	-74.87883	13365	K
43.237893	-75.502608	13440	M
43.095511	-75.306899	13413	ST
43.01491	-75.035818	13357	R
43.0362	-75.070553	13340	SR
43.018458	-74.99195	13350	K
43.092231	-75.315463	13413	K
43.005094	-75.248904	13456	V
43.080288	-75.391623	13323	G
42.999627	-75.048909	13357	R
43.237207	-75.501833	13440	CC
43.087664	-75.280534	13413	K
43.231758	-75.439499	13440	ST
43.104168	-75.661152	13421	SR
43.082754	-75.315607	13413	ST
43.244904	-75.525704	13440	SR
43.277539	-75.470225	13440	CC
43.207637	-75.450625	13440	K
43.055178	-75.279574	13413	CC
43.23112	-75.443371	13440	CC
43.015134	-75.03627	13357	ST
43.09387	-75.277596	13413	K
43.027469	-74.988715	13350	ER
43.236112	-75.437664	13440	SR
43.236118	-75.446884	13440	ER
43.095405	-75.30659	13413	ST
43.048044	-75.379952	13323	SR
43.097305	-75.296859	13417	ER
43.220815	-75.447393	13440	R
43.127504	-74.976955	13350	K
43.081543	-75.31502	13413	ST
43.092397	-75.651707	13421	CC
43.013166	-75.03322	13357	ER
43.078313	-75.663734	13421	ST
43.000144	-75.31464	13456	SR
43.095286	-75.298237	13417	K
43.226602	-75.489815	13440	G
43.233033	-75.438603	13440	ST
43.215573	-75.457632	13440	CC
43.040369	-75.072785	13340	ST
43.019126	-74.983711	13350	K
43.081708	-75.315728	13413	ST
43.055506	-75.279913	13413	CC
43.027891	-74.978736	13350	G
43.093491	-75.653346	13421	SR
43.215483	-75.452713	13440	K
43.052931	-75.277038	13413	ER
43.094492	-75.651023	13421	SR
43.046006	-75.379793	13323	V
43.085357	-75.668566	13421	CC
43.082976	-75.324776	13413	ST
43.20701	-75.449005	13440	ST
43.072607	-75.287154	13413	CC
43.216135	-75.454031	13440	R
43.019234	-75.031181	13357	G
43.08265	-75.327965	13413	K
43.091014	-75.649884	13421	CC
43.004286	-75.033212	13357	ER
43.284679	-75.46962	13440	WT
43.073167	-75.293498	13413	CC
43.004049	-75.260073	13456	SR
43.053979	-75.279536	13413	CC
43.082586	-75.323849	13413	K
43.011663	-75.054696	13357	R
43.044751	-74.848957	13365	G
43.073582	-75.321534	13413	SR
43.014218	-75.03767	13357	CC
43.240521	-75.438101	13440	U
43.027551	-74.979531	13350	ST
43.053244	-75.272131	13413	U
43.089249	-75.310704	13413	ST
43.236132	-75.446887	13440	V
43.015673	-75.036124	13357	X
43.099669	-75.636016	13421	X
43.022882	-75.328135	13323	G
43.213856	-75.464747	13440	ST
43.092694	-75.312863	13413	CC
43.044582	-74.856745	13365	SR
43.080405	-75.335353	13413	CC
43.092687	-75.314293	13413	ER
43.097279	-75.296863	13417	CC
43.213589	-75.454271	13440	ST
43.089854	-75.671808	13421	SR
43.026596	-75.056718	13357	SR
43.073766	-75.293629	13413	R
43.17124	-75.478432	13440	ST
43.080005	-75.643126	13421	SR
43.083924	-75.327596	13413	ST
43.015909	-75.036365	13357	K
43.087866	-75.31099	13413	M
43.040428	-74.858715	13365	K
43.09654	-75.62364	13421	G
43.073162	-75.289363	13413	ST
43.095468	-75.623448	13421	U
43.088706	-75.311531	13413	ST
43.062023	-75.224919	13413	SR
43.072562	-75.289314	13413	CC
43.002029	-75.193685	13340	ST
43.051204	-75.273686	13413	ER
43.025074	-74.987526	13350	CC
43.076713	-75.644069	13421	ER
43.073139	-75.294661	13413	V
43.205768	-75.450236	13440	SR
43.077421	-75.292595	13413	R
43.093376	-75.391358	13323	HH
43.035155	-75.066767	13340	K
43.077034	-75.29735	13413	ST
43.231037	-75.437524	13440	SR
43.083727	-75.315974	13413	WT
43.025824	-74.9881	13350	P
43.082689	-75.330175	13413	ST
43.073209	-75.287506	13413	ST
43.235437	-75.4357	13440	U
43.055268	-75.277467	13413	R
43.215858	-75.45314	13440	K
43.24283	-75.455593	13440	CC
43.213742	-75.451711	13440	K
43.082278	-75.315525	13413	ST
43.225553	-75.489367	13440	SR
43.087499	-75.315321	13413	M
43.094291	-75.305523	13413	WT
43.091527	-75.276669	13413	M
43.039086	-74.865786	13365	SR
43.042607	-74.860796	13365	ST
43.073371	-75.289042	13413	ST
43.217507	-75.448023	13440	CC
43.239459	-75.437202	13440	K
43.052577	-75.272338	13413	K
43.035522	-75.072823	13340	ST
43.016582	-75.035237	13357	G
43.026319	-74.883489	13365	SR
43.216337	-75.457832	13440	V
43.208968	-75.4533	13440	K
43.090272	-75.649601	13421	CC
43.043178	-74.856995	13365	V
43.075532	-75.690884	13421	ST
43.212219	-75.457962	13440	CC
43.210697	-75.458004	13440	CC
43.085404	-75.119717	13340	ST
43.237831	-75.456264	13440	ST
43.073562	-75.288194	13413	K
43.215325	-75.434489	13440	ER
43.204151	-75.433033	13440	CC
43.036492	-75.077284	13340	SR
43.039885	-75.391537	13323	SR
