location_name,top_category,latitude,longitude
Religious Organizations,First United Presbyterian Church,43.045105,-74.858799
Personal Care Services,Appearance's Salon,43.239828,-75.437348
Restaurants and Other Eating Places,Carney's Corners,43.028586,-74.986542
 and Similar Institutions, Historical Sites,Museums,Haselton Park,43.226101,-75.43573
Religious Organizations,Grace Baptist Church,43.27476,-75.46958
Restaurants and Other Eating Places,99 Restaurants,43.090492,-75.313664
Automotive Equipment Rental and Leasing,Ryder,43.136282,-75.275766
Automobile Dealers,Nye Ford,43.075714,-75.683979
Restaurants and Other Eating Places,Moe's Southwest Grill,43.087187,-75.313051
Specialty Food Stores,Byrne Dairy,43.20604,-75.45681
Religious Organizations,Saint John Lutheran Church,43.23533,-75.448943
Health and Personal Care Stores,Kinney Drugs,43.042181,-74.858389
Other Personal Services,Sit Means Sit Dog Training,43.082222,-75.393087
Health and Personal Care Stores,Dr Matthew C Allen,43.078964,-75.652722
 and Gift Stores, Stationery,Office Supplies,Honey Brook Hobbies,43.014694,-75.035467
Building Material and Supplies Dealers,Taylor True Value Rental,43.226298,-75.489478
 and Gift Stores, Stationery,Office Supplies,Reich Supply Company Inc,43.074595,-75.286992
Restaurants and Other Eating Places,Waterfront Grille,43.01707,-74.996357
General Medical and Surgical Hospitals,Chestnut Commons Diagnostic Medicine,43.232078,-75.440567
Personal Care Services,Effleurage Day Spa,43.07443,-75.288696
 including Warehouse Clubs and Supercenters,General Merchandise Stores,Family Dollar Stores,43.23053,-75.437906
Other Motor Vehicle Dealers,Suzuki,42.999283,-75.04926
Gasoline Stations,Circle K Gas,43.038572,-74.866157
Other Miscellaneous Store Retailers,Smoke and Vapor,43.089806,-75.312438
Personal Care Services,Hair Creaters & Tropical Tanning,43.259827,-75.461804
Nursing Care Facilities (Skilled Nursing Facilities),Valley Health Services Inc,43.025591,-74.999203
Restaurants and Other Eating Places,Vinny's Pizzeria,43.023391,-74.989937
Restaurants and Other Eating Places,Moose River Restaurant,43.094249,-75.284649
Other Ambulatory Health Care Services,Central Oneida County Volunteer Ambulance Corps,43.093376,-75.39131
Personal Care Services,Escape Away Massage,43.097275,-75.296872
Other Amusement and Recreation Industries,Function Better,43.047561,-74.986166
Home Health Care Services,Family Home Care,43.220064,-75.458839
Restaurants and Other Eating Places,Kitlas Restaurant,43.091903,-75.179131
 and Similar Institutions, Historical Sites,Museums,Franklin Field,43.224812,-75.447593
 and Musical Instrument Stores, Hobby,Sporting Goods,Dick Sonne's Cycles Fitness & Skis,43.083433,-75.323196
Restaurants and Other Eating Places,Green n Wave,43.082387,-75.314973
Grocery Stores,Price Chopper New England,43.232134,-75.436421
Grocery Stores,Hannaford Supermarkets,43.23728,-75.453418
Restaurants and Other Eating Places,Five Guys,43.096143,-75.305021
Personal Care Services,VIP Nails,43.089826,-75.312072
Other Amusement and Recreation Industries,Village Tennis Courts,43.023251,-74.996492
Restaurants and Other Eating Places,Piccolo Cafe,43.041332,-74.858236
Child Day Care Services,Upstate Cerebral Palsy,43.090556,-75.646122
Automobile Dealers,Upstate Auto Sales,43.220793,-75.480858
Religious Organizations,Mohawk Oneida Baptist Association,43.013308,-75.037418
Personal Care Services,Salon Echo,43.223859,-75.484674
Restaurants and Other Eating Places,Furji Fire House Sushi,43.076504,-75.644023
 and Musical Instrument Stores, Hobby,Sporting Goods,The Piano Lab,43.048047,-75.380704
Restaurants and Other Eating Places,The Phoenician Restaurant,43.092948,-75.276656
Amusement Parks and Arcades,The Tot Spot Play Center,43.062418,-75.603251
Personal Care Services,Nails by Shelley,43.214874,-75.457332
 and Similar Institutions, Historical Sites,Museums,Village Green,43.048381,-75.379377
Automotive Repair and Maintenance,Nye Automotive Group,43.0758,-75.683964
Building Material and Supplies Dealers,Lowe's,43.09074,-75.320666
Personal Care Services,Rome Nail & Spa,43.230625,-75.43778
Gasoline Stations,Nice N Easy,43.096431,-75.623367
Religious Organizations,Church On The Rock,43.096519,-75.650024
Restaurants and Other Eating Places,Dunkin',43.093818,-75.277524
Other Amusement and Recreation Industries,Curves,43.027469,-74.988715
Automotive Repair and Maintenance,Tallman's Tire & Auto Repair,43.236409,-75.437453
Beverage Manufacturing,Brimfield Farm Winery,43.050446,-75.335794
Restaurants and Other Eating Places,The coffee forks,43.094593,-75.651927
Restaurants and Other Eating Places,Downown Sushi Opening Soon,43.096071,-75.6523
Restaurants and Other Eating Places,The Savoy Restaurant,43.208647,-75.45237
 and Musical Instrument Stores, Hobby,Sporting Goods,AAA Promotional Signs,43.208724,-75.47484
 and Similar Institutions, Historical Sites,Museums,Pietrka Park,43.097172,-75.299549
Restaurants and Other Eating Places,Burger King,43.017047,-74.802798
Other Amusement and Recreation Industries,MV Golf & Events Center,43.027339,-74.913194
Restaurants and Other Eating Places,Coalyard Charlie's,43.206804,-75.456943
Grocery Stores,Stewart's Shops,43.21407,-75.467452
Grocery Stores,Price Chopper New England,43.079918,-75.643764
Automotive Repair and Maintenance,AutoVations,43.20428,-75.437703
Specialty Food Stores,Daylight Donuts,43.074024,-75.287016
Personal Care Services,Nails By Tina,43.023866,-74.986679
Florists,Designs By Shelly,43.044629,-74.85667
Motion Picture and Video Industries,Marquee Cinemas,43.09262,-75.314319
Personal Care Services,SmartStyle Family Hair Salons,43.02133,-74.997045
 and Musical Instrument Stores, Hobby,Sporting Goods,Dick s Sporting Goods,43.0771,-75.643848
Restaurants and Other Eating Places,Uncles Tavern,43.102198,-75.293912
Religious Organizations,First Baptist Church,43.027228,-74.985864
Restaurants and Other Eating Places,Ben Jerry's ice cream,43.082928,-75.315824
Clothing Stores,Ella's Room Children's Consignment,43.222253,-75.482295
Other Miscellaneous Store Retailers,Visions From Above,43.025492,-74.984206
Personal Care Services,Next Level Barber Shop,43.082185,-75.323471
Personal Care Services,Totally Browtiful,43.047018,-75.273669
Grocery Stores,Stewart's Shops,43.016134,-75.033704
Furniture Stores,Furniture Weekend,43.027575,-74.978594
Personal Care Services,Gianni Lauryn Hair Studio,43.046994,-75.273444
Religious Organizations,Conservative Baptist Association Of America,43.05658,-75.259863
Miscellaneous Durable Goods Merchant Wholesalers,Geraty Pools & Spa Inc,43.021114,-74.992364
Clothing Stores,Jimmy Jazz,43.08296,-75.314736
Health and Personal Care Stores,Miracle-Ear,43.09628,-75.303285
Restaurants and Other Eating Places,Ann St Restaurant & Deli,43.040938,-74.858636
Grocery Stores,Cliff's Local Market,43.027891,-74.978736
 and Musical Instrument Stores, Hobby,Sporting Goods,All Seasons Outfitters,43.084713,-75.32124
Personal Care Services,Kevin Bedford,43.085911,-75.328456
Religious Organizations,First United Methodist Church,43.216283,-75.45771
Restaurants and Other Eating Places,Best Food Chinese and Pizza,43.208974,-75.45322
 and Similar Institutions, Historical Sites,Museums,Uvanni Park,43.203866,-75.458624
Other Amusement and Recreation Industries,Heron Creek Golf Club's,43.071223,-75.378575
 and Similar Institutions, Historical Sites,Museums,Montgomery Street Park,43.016865,-75.047236
Restaurants and Other Eating Places,Tony's Pizzeria & Deli,43.047878,-75.381206
Department Stores,Boscov's,43.082054,-75.317754
General Medical and Surgical Hospitals,Oneida Healthcare Center Extended Care Facility,43.076883,-75.654596
Other Miscellaneous Store Retailers,Twin Ponds Country Club,43.10721,-75.282637
Gasoline Stations,Famco Express,43.055343,-75.279268
