Title	x	y
Point	-75.26745676	43.09339572
Point	-75.2672797	43.09340747
Point	-75.26784564	43.09373454
Point	-75.26773299	43.0938677
Point	-75.26759357	43.09402639
Point	-75.26743529	43.09422029
Point	-75.26729848	43.09442397
Point	-75.2671322	43.0946022
Point	-75.26699808	43.09477459
Point	-75.26655818	43.09464727
Point	-75.26664945	43.09447685
Point	-75.26676209	43.0943652
Point	-75.26691759	43.09417326
Point	-75.2670598	43.09398526
Point	-75.26712412	43.09386187
Point	-75.2672797	43.09370122
Point	-75.26807274	43.09492238
Point	-75.26793862	43.09503796
Point	-75.26786352	43.09516916
Point	-75.26767308	43.09504183
Point	-75.26730827	43.09497525
Point	-75.26750141	43.09482445
Point	-75.26685498	43.0934358
Point	-75.26646996	43.09312283
Point	-75.26615618	43.09310715
Point	-75.2661401	43.0928956
Point	-75.2661401	43.09280356
Point	-75.26669526	43.09343029
Point	-75.26648344	43.09344013
Point	-75.26626344	43.09345771
Point	-75.26611863	43.09345384
Point	-75.26597373	43.09346165
Point	-75.26581823	43.09346755
Point	-75.26567334	43.09347536
Point	-75.26552583	43.09347733
Point	-75.26636001	43.09369275
Point	-75.26644849	43.09384166
Point	-75.2661428	43.09382985
Point	-75.26584231	43.09384356
Point	-75.26569211	43.0938475
Point	-75.26555	43.0938534
Point	-75.26524691	43.09386318
Point	-75.2651047	43.09388469
Point	-75.26508063	43.09350672
Point	-75.26575922	43.09315215
Point	-75.26573236	43.09285053
Point	-75.26557946	43.09317374
Point	-75.26544274	43.0931698
Point	-75.26529245	43.09316396
Point	-75.26513965	43.0931757
Point	-75.26518519	43.09293279
Point	-75.26476604	43.09350986
Point	-75.26471501	43.09379391
Point	-75.26441731	43.09368423
Point	-75.2642054	43.09394078
Point	-75.26446295	43.09409946
Point	-75.26458898	43.09416408
Point	-75.2648706	43.09425414
Point	-75.26511467	43.09439911
Point	-75.26527565	43.09443631
Point	-75.26411422	43.09402698
Point	-75.26404981	43.09414643
Point	-75.2639801	43.09423263
Point	-75.26391309	43.09434427
Point	-75.26423226	43.09441282
Point	-75.26434221	43.09448721
Point	-75.26447364	43.09454795
Point	-75.26461575	43.09460082
Point	-75.26474187	43.09466157
Point	-75.26486791	43.09472224
Point	-75.26499664	43.09478102
Point	-75.26670972	43.09508165
Point	-75.26659438	43.09525201
Point	-75.26644688	43.09539107
Point	-75.26620819	43.09529904
Point	-75.26632084	43.0949132
