occupation	latitude	longitude	zipcode
Obstetrics_Gynecology_&_Infertility	A	43.096887	-75.276637
Allergy_Care	A	43.08437	-75.2673
McDonald's	B	43.091022	-75.222295
Faxton_St_Lukes's_Healthcare	A	43.117128	-75.213325
Quick_Change_Inc	C	43.094003	-75.225515
Community_Medicine_Centers_of_St_Elizabeth	A	43.093302	-75.241227
Fisher_Auto_Parts	C	43.105059	-75.215004
Papito_Barbershop	B	43.098259	-75.218352
St_Peter's_Catholic_Church	A	43.117414	-75.209352
Tilton_School	A	43.103143	-75.274766
Casa_Imports	C	43.097578	-75.202452
Sunoco	C	43.080357	-75.206285
Computer_Aided_Automotive	D	43.082474	-75.204804
Varick_Bar_&_Grill	B	43.104349	-75.241851
Little_Italy_Imports	C	43.089186	-75.221034
Fancy_Nails	B	43.11426	-75.208754
Dollar_General	C	43.103694	-75.162565
Dollar_Tree	C	43.090767	-75.224096
Mohawk_Valley_Network	B	43.096759	-75.276127
China_Wok	B	43.086455	-75.260933
Asim_Automotive	D	43.094899	-75.215702
Quest_Diagnostics	A	43.086653	-75.26184
Speciale_Fireworks	D	43.102525	-75.161053
Delta_Hotels	B	43.10132	-75.232341
Ramon's_Bakery	B	43.080493	-75.207147
Hotvedt_Peter_S_MD	A	43.083144	-75.267827
KeyBank	C	43.099307	-75.235058
Kunkel_Ambulance_Service	A	43.101505	-75.22342
Slavic_Pentecostal_Church	A	43.093183	-75.26075
Woodland_Farm_Brewery	D	43.151135	-75.212037
Five_Point_Tv	C	43.088689	-75.211811
DLG_Wealth_Management	A	43.099694	-75.235295
Hallmark_Cards	C	43.114387	-75.209397
Dollar_Tree	C	43.114285	-75.209188
Mohawk_Valley_Psychiatric_Center_For_Children_&_Youth	A	43.102996	-75.260128
U-Haul	C	43.084245	-75.288712
McDonald's	B	43.10999	-75.219031
Utica_Pharmacy	A	43.08777	-75.259876
Heritage_Health_Care_Center	A	43.090409	-75.256828
Colortyme	C	43.099288	-75.247222
Tractor_Supply_Co.	C	43.128039	-75.22259
Western_Union	C	43.096199	-75.241275
