occupation	latitude	longitude	zipcode
Forward_Motion_Motorworks	D	43.272126	-75.467485	13440

Radiology_Association_of_Oneida	A	43.07897	-75.652718	13421

Strong_Burns_and_Sprock_Funeral_Home	B	43.237066	-75.456055	13440

R_&_R_Kennels	B	43.210603	-75.588807	13440

Adirondack_Bank	C	43.043559	-74.859508	13365

Rome_Memorial_Hospital	A	43.231944	-75.440861	13440

Gold_Medal_Packing	C	43.191761	-75.342892	13440

Glenwood_Cemetery	B	43.067417	-75.641504	13421

Lennon's_W_B_Wilcox	C	43.086053	-75.316972	13413

Our_Lady_of_the_Rosary_Church	A	43.094797	-75.280405	13413

Reindance_Stables_Inc	B	43.025587	-75.207375	13456

Clinton_Wine_&_Spirits	C	43.043026	-75.38614	13323

Lott_Ralph_W_OD	A	43.093093	-75.279197	13413

Label_Shopper	C	43.23153	-75.437149	13440

Dollar_General	C	43.302342	-75.473904	13440

Best_Buy	C	43.092834	-75.30881	13413

T_Mobile_Authorized_Retailer	C	43.210416	-75.460233	13440

Chico's	C	43.090112	-75.31657	13413

Avenue	C	43.089898	-75.312143	13413

Scalise_Tae_Kwon_DO	A	43.097305	-75.296859	13417

Debbie's_Electrolysis_Studio	B	43.074438	-75.297464	13413

Salvation_Barbeque	B	43.096612	-75.650957	13421

Cliff's_Local_Market	C	43.08025	-75.391617	13323

Fink_Van_Valkenburgh_Cemetery	B	43.040196	-74.865558	13365

Davidson_Collision_Center_of_Rome	D	43.23202	-75.496128	13440

Skinner_Sales	D	43.027173	-74.946174	13350

Brookdale_Senior_Living	B	43.038632	-75.359084	13323

Allstate_Insurance	C	43.216022	-75.472106	13440

Forever_Leather	C	43.077211	-75.294355	13413

Ilion_Free_Public_Library	B	43.013817	-75.039798	13357

Unique_eCigs	C	43.082127	-75.322954	13413

Auto_Salvage_Technologies	E	43.049682	-74.988315	13350

Grosack_Marc_DPM	A	43.091718	-75.6503	13421

Mohawk_Valley_Retina_Plcc	A	43.072944	-75.292155	13413

Best_Pizza_In_Town	B	43.219411	-75.461694	13440

Bulinski_Trucking_Automotvie_Repair	D	43.050086	-75.085309	13340

Herkimer_County_DMV_Office	A	43.028871	-74.988189	13350

Elmer_Hill_Veterinary_Clinic	A	43.28372	-75.471527	13440

Rose_Cemetery	B	43.081203	-75.098769	13340

China_Gourmet	B	43.016857	-75.034943	13357

Legends_Sports_Bar_&_Eatery	B	43.214834	-75.469403	13440

Bellinger_Park	B	43.026137	-74.99758	13350

Lakeview_Restaurant_and_Bar	B	43.059745	-75.608801	13421

Smokers_Choice	C	43.231658	-75.437048	13440

Cuts_And_Colors_My_Stock	A	43.02139	-74.990508	13350

Nice_N_Easy	C	43.096431	-75.623367	13421

VIP_Nails	B	43.089826	-75.312072	13413

Village_Tennis_Courts	B	43.023251	-74.996492	13350

Camroden_Golf_Course	B	43.259017	-75.362125	13440

Jet_Photo_Service	A	43.027755	-74.979335	13350

