occupation	latitude	longitude	zipcode
Associated_Medical_Professionals_Of_Ny	A	43.231315	-75.443285	13440

AT&T	C	43.095585	-75.309603	13413

Suburban_Propane	A	43.131823	-75.253462	13403

Tony's	B	43.082689	-75.323185	13413

Blueberry_Hill_Farms_&_Nursery	D	43.022626	-75.430756	13323

Mian_Ahmad_S_MD	A	43.090544	-75.279884	13413

Praxair	C	43.13519	-75.263238	13403

Dunkin'	B	43.097986	-75.301347	13417

Dunkin'	B	43.224416	-75.486319	13440

Indian_Castle_Travel_Plaza	C	43.043523	-74.859659	13365

Oneida_Castle_Village_Park	B	43.080102	-75.63573	13421

United_States_Postal_Service_(USPS)	C	43.13994	-75.276048	13403

Alterations_at_Barb's_&_Custom_Sewing	C	42.996471	-75.09684	13340

Jamrock's_Island_Breeze	B	43.023654	-74.98851	13350

Applebee's	B	43.233302	-75.436785	13440

First_Niagara_Bank	C	43.055249	-75.277491	13413

Jo-Ann_Fabric_and_Craft_Stores	C	43.0767	-75.294474	13413

Adirondack_Veterinary_Service	A	43.247981	-75.523759	13440

Village_Tennis_Courts	B	43.023447	-74.996648	13357

Lutheran_Care	A	43.056289	-75.364327	13323

Villas_of_Sherman_Brook	B	43.03874	-75.359206	13323

Cliff's_Local_Market	C	43.005644	-75.25582	13456

Gigliotti's_Utica_Driving_School	C	43.027279	-74.980173	13350

Oneida_Pediatrics_Group_PC	A	43.088206	-75.646996	13421

Tractor_Supply_Co.	C	43.225131	-75.488193	13440

Trinity_Episcopal_Church	A	43.214464	-75.459022	13440

Walgreens	A	43.097787	-75.303493	13413

Rome_Medical_Group	A	43.234351	-75.43793	13440

Quest_Diagnostics	A	43.23084	-75.437629	13440

Presbyterian_Homes_&_Service	B	43.073655	-75.341734	13413

Oneida_Floral_&_Gifts	C	43.09425	-75.651743	13421

NAPA_Auto_Parts	C	43.079142	-75.644547	13421

Kirk_Automotive	C	43.210631	-75.465194	13440

Hardscrabble_Wind_Power_LLC	E	43.112244	-74.878892	13365

United_States_Postal_Service_(USPS)	C	43.038569	-75.070641	13340

Bella_Cucina	B	43.083685	-75.322238	13413

Seedat_Mohammed_S_MD	A	43.222151	-75.444673	13440

Sleeper_Richard_M_MD	B	43.055706	-75.280202	13413

Allstate_Insurance	C	43.016511	-75.039258	13357

Tucciarone_Michael	A	43.040691	-75.391308	13323

Kwik_Fill	C	43.097131	-75.653529	13421

Alexander_Home_Supply	C	43.13594	-75.278538	13403

SavOn	C	43.03978	-75.622229	13421

Hall_Financial_Services	A	43.229395	-75.438714	13440

Hughes_Elementary_School	A	43.061088	-75.258695	13413

Green_n_Wave	B	43.082387	-75.314973	13413

GameStop	C	43.076169	-75.641634	13421

Sacred_Eagle_Tattoos	B	43.016832	-75.034233	13357

Nail_&_Hair_Enterprise_by_Trina	B	43.077133	-75.296313	13413

Goodyear_Auto_Service_Centers	D	43.233825	-75.438048	13440

Anaconda_Sports	C	43.09726	-75.29688	13417

H&R_Block	A	43.088235	-75.31115	13413

Trailer_Marketing_Services	C	43.08331	-75.394076	13323

Advance_Auto_Parts	C	43.023752	-74.990571	13350

JMP_Guns	C	43.034747	-75.065565	13340

St_Elizabeth_Medical_Center_Laboratories	A	43.073554	-75.291762	13413

Rome_Savings_Bank	C	43.211103	-75.457347	13440

Catherines	C	43.095596	-75.31001	13413

Herkimer_County_Community_College	A	43.032297	-75.006236	13350

Slocum_Dickson_Medical_Group	A	43.015276	-75.038117	13357

Schulman_&_Rozanski_Dentistry	A	43.07229	-75.289165	13413

NBT_Bank	C	43.079249	-75.642652	13421

West_Park_Row_Salon	B	43.048405	-75.379062	13323

Archer's_Auto_Body	D	42.946567	-75.047002	13357

Lake_Delta_Yacht_Club	C	43.289383	-75.465966	13440

Gannon_Associates_Insurance_Oneida	C	43.093197	-75.6511	13421

Radiology_Association_of_Oneida	A	43.07897	-75.652718	13421

Taj_Mahal_Indian_Restaurant	B	43.073136	-75.289465	13413

Rite_Aid	A	43.053789	-75.278314	13413

Village_Pizza	B	43.072987	-75.288124	13413

The_Shops_At_25_West	C	43.040452	-74.85995	13365

Crestwood_Golf_Club	B	43.16666	-75.292994	13403

Hjp_Cafe_Vietnamese_Pho_Noodles_Restaurant	B	43.02813	-74.988281	13350

Liberty_Gardens_Thron_Park	B	43.221638	-75.47464	13440

STEET_PONTE_CHEVROLET_INC	C	43.046131	-74.984922	13350

Revelations_Salon_&_Spa	B	43.027357	-74.979844	13350

Amendola's_Country_Florist	C	43.057519	-75.160024	13340

Stewart's_Shops	C	43.044345	-74.860918	13365

Farmers_Insurance_Group	C	43.042989	-74.859773	13365

Rizzo's_Mkt	C	43.207193	-75.460978	13440

Miracle-Ear	A	43.096311	-75.303211	13413

Ann_St_Restaurant_&_Deli	B	43.040938	-74.858644	13365

Cafe_Florentine	B	43.091653	-75.31543	13413

Fastrac	B	43.229569	-75.492535	13440

GNC_(General_Nutrition_Centers)	A	43.082678	-75.314674	13413

G_&_S_Auto	D	43.040143	-75.072333	13340

John_E_Joy_Elementary_School	A	43.258245	-75.460211	13440

CVS	A	43.043223	-75.385463	13323

Sulphur_Springs_Golf_Course	B	42.975203	-75.293702	13456

First_Presbyterian_Church	A	43.013157	-75.0387	13357

Casler_Construction_Service	C	43.29717	-75.472593	13440

Little_Falls_Historical_Museum	B	43.042777	-74.859143	13365

Tri_County_Medical	A	43.231591	-75.442001	13440

