category	latitude	longitude
V	43.095798	-75.238041
ER	43.088761	-75.257826
CC	43.09108	-75.258069
SR	43.09247	-75.183497
K	43.100105	-75.242145
CC	43.092979	-75.249015
ST	43.097588	-75.240202
ST	43.128538	-75.224555
ST	43.097032	-75.246719
ST	43.104114	-75.24145
CC	43.092072	-75.284621
K	43.092155	-75.196847
SR	43.112345	-75.214751
K	43.089089	-75.223295
G	43.098606	-75.227762
SR	43.136912	-75.217606
CC	43.083962	-75.268141
CC	43.092516	-75.207896
SR	43.113931	-75.207125
R	43.094146	-75.228154
U	43.116307	-75.211522
ST	43.099778	-75.152411
K	43.096843	-75.216389
K	43.10141	-75.227447
K	43.101361	-75.228397
MF	43.097578	-75.214903
R	43.114081	-75.208366
K	43.10841	-75.21943
MF	43.080467	-75.207113
ST	43.108673	-75.249337
ER	43.088989	-75.20764
K	43.095439	-75.222754
K	43.095332	-75.215471
V	43.089295	-75.248459
ST	43.08602	-75.279684
V	43.097797	-75.228352
SR	43.107567	-75.24376
G	43.099612	-75.220525
V	43.101602	-75.245305
SR	43.103171	-75.246493
SR	43.117644	-75.210085
CC	43.099629	-75.238114
G	43.097234	-75.215079
K	43.100414	-75.233668
ST	43.114241	-75.208946
CC	43.098348	-75.238147
SR	43.110036	-75.217677
K	43.100765	-75.233165
SR	43.095074	-75.242473
CC	43.083125	-75.267804
R	43.091423	-75.222867
ST	43.092318	-75.182335
V	43.099839	-75.218031
V	43.078843	-75.278252
SR	43.087216	-75.254719
K	43.1026	-75.230708
ST	43.105572	-75.241062
V	43.09642	-75.22085
ST	43.115774	-75.208521
K	43.100096	-75.233395
ST	43.13508	-75.218923
SR	43.109341	-75.261443
SR	43.104954	-75.237735
K	43.102332	-75.242032
U	43.08823	-75.259405
K	43.095182	-75.242484
SR	43.099041	-75.210754
CC	43.080859	-75.288953
CC	43.093744	-75.246246
M	43.089543	-75.222216
ER	43.082736	-75.250638
ST	43.106791	-75.215513
SR	43.18189	-75.183493
SR	43.137838	-75.216058
WT	43.096819	-75.217415
ER	43.084881	-75.245922
V	43.096657	-75.210636
V	43.109123	-75.261636
SR	43.093814	-75.225485
G	43.088968	-75.234845
K	43.103445	-75.227632
V	43.110419	-75.184327
SR	43.096768	-75.221924
V	43.104994	-75.241626
CC	43.093594	-75.286034
X	43.089221	-75.260202
CC	43.098322	-75.238146
V	43.091377	-75.250231
CC	43.091269	-75.258294
ST	43.098753	-75.208675
R	43.113074	-75.205825
K	43.080415	-75.207279
K	43.092047	-75.222262
MF	43.088605	-75.228343
V	43.093756	-75.230121
SR	43.099694	-75.235295
K	43.128523	-75.224614
CC	43.106365	-75.270475
K	43.096983	-75.216914
X	43.108144	-75.255672
K	43.084832	-75.235915
ST	43.086518	-75.218705
SR	43.089345	-75.214576
SR	43.091313	-75.225603
K	43.102374	-75.233794
K	43.104316	-75.241954
K	43.107208	-75.220559
SR	43.101772	-75.229559
R	43.101772	-75.229797
R	43.100569	-75.237726
V	43.114248	-75.20188
K	43.093028	-75.199936
V	43.078209	-75.273436
K	43.095519	-75.242809
CC	43.081029	-75.205952
CC	43.105081	-75.271826
SR	43.108396	-75.136178
ST	43.10726	-75.270151
R	43.103519	-75.16282
CC	43.117154	-75.213326
V	43.09846	-75.234692
V	43.114239	-75.201895
SR	43.101172	-75.232523
CC	43.076077	-75.281277
SR	43.111126	-75.256075
CC	43.081344	-75.270862
CC	43.091094	-75.258081
ST	43.10257	-75.22979
MF	43.126183	-75.235942
K	43.095285	-75.243158
G	43.099236	-75.216096
SR	43.108802	-75.268484
AS	43.10959	-75.221463
CC	43.096887	-75.276637
ST	43.097137	-75.241027
U	43.094303	-75.219707
V	43.108824	-75.25738
CC	43.081024	-75.205991
