location_name,top_category,latitude,longitude
Other Personal Services,Eddie's Aquarium Centre,42.8009,-73.733903
Other Motor Vehicle Dealers,Advanced RV Repair,42.756153,-73.808036
Restaurants and Other Eating Places,Charlie's West Indian Bakery & Restaurant,42.794878,-73.920818
Automobile Dealers,Fuccillo Hyundai,42.765422,-73.886644
Personal Care Services,Venetian Nails Spa,42.735945,-73.764313
Clothing Stores,Bridal Gallery By Yvonne,42.756414,-73.757684
Religious Organizations,Fiqh Mosque Inc,42.733492,-73.70831
 including Warehouse Clubs and Supercenters,General Merchandise Stores,Dollar Tree,42.771116,-73.893966
Automotive Repair and Maintenance,Automedics,42.688207,-73.800795
Restaurants and Other Eating Places,CoreLife Eatery,42.753143,-73.766986
Gasoline Stations,Mobil,42.753566,-73.771388
Automobile Dealers,Armory Jeep Wrangler,42.681037,-73.793864
Restaurants and Other Eating Places,Great Wall,42.784103,-73.918558
Other Amusement and Recreation Industries,Radiance Hot Yoga,42.727567,-73.759808
Personal Care Services,Hair by Cortney,42.714084,-73.828315
Personal Care Services,Bella Hair Salon,42.706801,-73.777757
Personal Care Services,Edge City Barber Shop,42.800023,-73.925656
Restaurants and Other Eating Places,Kiernan's Craft Tavern,42.757196,-73.761489
Child Day Care Services,A Magic Kingdom,42.786783,-73.902004
Gasoline Stations,Sunoco,42.735114,-73.701118
Restaurants and Other Eating Places,Golden Wok Restaurant,42.757187,-73.761211
Personal Care Services,Art Threading Salon,42.712727,-73.827999
Other Miscellaneous Store Retailers,Dejavu,42.71723,-73.831995
Child Day Care Services,Colonie Youth Center Inc Loudonville School,42.706019,-73.756538
 including Warehouse Clubs and Supercenters,General Merchandise Stores,Big Lots Stores,42.732874,-73.855398
Lessors of Real Estate,Latham Center,42.757238,-73.769073
Personal Care Services,Studio Orlo,42.814921,-73.893048
Personal Care Services,Relish Experience,42.718481,-73.807644
 and Liquor Stores, Wine,Beer,King Cork Wine & Liquor,42.784241,-73.917989
Nursing Care Facilities (Skilled Nursing Facilities),Schenectady Center For Rehabilitation And Nursing,42.791178,-73.932414
Automotive Repair and Maintenance,Larry's Foreign Auto Service,42.683114,-73.781913
Clothing Stores,Burlington,42.747986,-73.763642
Restaurants and Other Eating Places,New Panda,42.799301,-73.947722
Restaurants and Other Eating Places,Maurice's Sandwich Shop,42.718478,-73.805611
Consumer Goods Rental,Blockbuster Video,42.756043,-73.758629
Religious Organizations,Higher Hope Church Of God In Christ,42.773246,-73.898274
 and Gift Stores, Stationery,Office Supplies,Union Street Office,42.803572,-73.900153
Building Material and Supplies Dealers,Home Outlet,42.699163,-73.824371
Clothing Stores,Aéropostale,42.689246,-73.850035
Other Miscellaneous Store Retailers,Smokers Choice,42.737133,-73.761757
Health and Personal Care Stores,CVS,42.756281,-73.7704
 and Gift Stores, Stationery,Office Supplies,Spencer Gifts,42.689208,-73.849817
Restaurants and Other Eating Places,Tipsy Moose Tap & Tavern,42.746258,-73.759119
Restaurants and Other Eating Places,The Coffee Beanery,42.710425,-73.816315
Personal Care Services,Supercuts,42.735926,-73.764444
Home Furnishings Stores,Latham Table Pad Company,42.770285,-73.788898
Other Amusement and Recreation Industries,Albany Ninja Lab,42.696499,-73.847376
Religious Organizations,St Peter & St Paul Ukranian Catholic Church,42.773696,-73.695049
Other Ambulatory Health Care Services,Wheelers Accessible Vans,42.701695,-73.824608
Motion Picture and Video Industries,Regal Entertainment Group,42.710979,-73.816671
Restaurants and Other Eating Places,Pustolkas Tavern,42.789127,-73.929361
Other Miscellaneous Store Retailers,Smokers Choice,42.701031,-73.819365
Health and Personal Care Stores,SICAP Industries,42.71372,-73.844773
Restaurants and Other Eating Places,CoreLife Eatery,42.71655,-73.808955
Other Amusement and Recreation Industries,Shaker Ridge Country Club,42.751233,-73.825663
Grocery Stores,Primal,42.684004,-73.838625
 and Similar Institutions, Historical Sites,Museums,International Guitar Museum And Hall Of Fame,42.727513,-73.75983
Restaurants and Other Eating Places,Deangelo's Ristorante,42.791128,-73.939341
Gasoline Stations,Red Kap,42.705695,-73.777011
Restaurants and Other Eating Places,Yuan Sushi,42.771945,-73.700559
Building Material and Supplies Dealers,Sherwin-Williams,42.714618,-73.845058
Automobile Dealers,Land Rover Albany,42.729478,-73.853502
Nursing Care Facilities (Skilled Nursing Facilities),Eddy Village Green,42.775733,-73.725679
Home Furnishings Stores,Sherry's Kitchen,42.695935,-73.808598
Used Merchandise Stores,Fifi's Frocks & Frills,42.690917,-73.867758
Restaurants and Other Eating Places,Subway,42.746667,-73.763696
Religious Organizations,St Lukes Catholic Church Outreach,42.799013,-73.924035
Health and Personal Care Stores,Ram Orthotic & Prosthetic Lab,42.826251,-73.90811
 and Similar Institutions, Historical Sites,Museums,Fort Hunter,42.750528,-73.946843
Other Amusement and Recreation Industries,Albany Complementary Health,42.697405,-73.885536
Personal Care Services,Gel Nail Salon,42.803167,-73.900069
