occupation	latitude	longitude	zipcode
Maywood_Pocket_Park	B	42.745254	-73.857129
Subway	B	42.804564	-73.902869
Ram_Orthotic_&_Prosthetic_Lab	A	42.826251	-73.90809
Albany_Complementary_Health	B	42.697405	-73.885536
Eden_Cafe	B	42.707516	-73.774835
McCambley_John_DMD	A	42.788724	-73.913859
Shear_Perfection	B	42.734267	-73.851381
Fitness_Artist	B	42.734874	-73.762743
Albany_Health_Management_Assoc	A	42.72599	-73.761346
Vallecorsa_J_David_DDS	A	42.750844	-73.763383
Milan_Laser_Hair_Removal	B	42.713609	-73.813552
Holland_Nursery_Ghses_&_Flower_Shop	C	42.725493	-73.82367
CarMax	C	42.732136	-73.852942
Alden_March_Care_Pathology_Group	A	42.734967	-73.79297
Party_City	C	42.774603	-73.889642
Trustco_Bank	C	42.762201	-73.751174
Albany_MRI_Transfer_Station	B	42.746926	-73.786805
Accent_on_Skin	B	42.72846	-73.759666
Marjorie_Doyle_Rockwell_Center	A	42.775765	-73.725676
Maharaja_Indian_Restaurant	B	42.709661	-73.821585
Get_Air	B	42.689334	-73.848415
Marshalls	C	42.754621	-73.756357
Village_Square_Shopping_Center	C	42.728508	-73.846452
St_Peter_&_St_Paul_Ukranian_Catholic_Church	A	42.773696	-73.695049
Kids_&_Family_Dental	A	42.713562	-73.813521
La_Mexicana_Grocery	C	42.781715	-73.905048
Grace_Nail_&_Spa	B	42.733233	-73.854352
Shaw_Environmental_&_Infrastructure	E	42.761061	-73.818492
Alvarez_Oscar_DDS	A	42.773604	-73.935004
Latham_Farms_Shopping_Center	C	42.755201	-73.762072
Amica_Mutual_Insurance_Company	C	42.7158	-73.81448
Homewood_Suites_by_Hilton	B	42.686832	-73.852416
Sondra's_Fine_Jewelry	C	42.804431	-73.904584
MGX_Fitness	B	42.691164	-73.868036
Lanie's_Cafe	B	42.707655	-73.777157
Kent_Molino_DDS	A	42.802428	-73.898652
Spare_Time_Latham	B	42.745287	-73.750839
DogWatch_by_TopDog_Pet_Fence	C	42.745002	-73.753817
Capital_Care_Family_Practice_River_Road	A	42.829125	-73.88871
STS_Tire_&_Auto_Centers	D	42.772566	-73.895681
Cajun_Cafe	B	42.689204	-73.849816
Short_and_Stout_Tea	C	42.689897	-73.849907
Bender_Lane_Advisory	A	42.685977	-73.842399
ALDO	C	42.689085	-73.849
SparkShoppe	C	42.705725	-73.860884
Boost_Mobile	C	42.772857	-73.700788
Hertz	C	42.740572	-73.807429
The_Edge_Skate_Sharpening_&_Profiling	C	42.712663	-73.828122
The_Cheesecake_Factory	B	42.710331	-73.817292
Cali_Nail	B	42.728257	-73.759761
Albany_NY_Fitness_&_Revolution_Fitness_NY	B	42.698451	-73.828752
Conlon_Alan_MD	A	42.796794	-73.892811
Gayne_Optical	A	42.804358	-73.904242
CAPITAL_KITCHEN_&amp_GRANITE_INC	C	42.737861	-73.761752
Against_All_Odds	C	42.68932	-73.848418
Cumberland_Farms	C	42.7974	-73.923924
Blue_Rose_Cheesecake_&_Bake_Shop	B	42.780388	-73.903301
Mario's_Restaurant_&_Pizzeria	B	42.803256	-73.861905
TCC	C	42.683401	-73.84044
Dance_Me	B	42.804974	-73.904446
English_Language_Study_Center	A	42.664123	-73.785664
Hudson_Shores_Medical_Group	A	42.726422	-73.701562
Terminix	D	42.71747	-73.838285
State_Farm	C	42.690492	-73.868057
Latham_Center	C	42.757264	-73.769098
Studio_Orlo	B	42.814904	-73.893062
Casa_De_Richani	B	42.803654	-73.864613
Allan_L_Nahman_DDS	A	42.674354	-73.815347
Capital_Region_Physical_Therapy	A	42.69322	-73.87324
Camelot_Room	B	42.664182	-73.78531
Janet_Gioia_Cruise_Planners	B	42.780006	-73.933657
Beer_Ruth_MD	A	42.758116	-73.7772
United_States_Postal_Service_(USPS)	C	42.722291	-73.75695
Andrew_Wood_DDS	A	42.678292	-73.84456
New_York_State_Association_Of_Library_Boards	B	42.703475	-73.745774
Bank_of_America	C	42.690546	-73.866184
The_Home_Depot	C	42.684983	-73.792173
Today's_Dental_Care	A	42.814865	-73.891113
Rose_Dental_Associates	A	42.70756	-73.861099
Starbucks	B	42.728145	-73.761156
Appliance_Man	C	42.706434	-73.826436
Dixon_David_J	A	42.693898	-73.771922
Lucie_Capek_MD_Plastic_Surgery	A	42.759071	-73.777148
Messing_Steven_G_DMD	A	42.684736	-73.837723
Table_41_Brewing_Co	D	42.772539	-73.754361
Pink	C	42.689641	-73.85158
Albany_Montessori_Education_Center	A	42.788458	-73.740815
Siena_Barber_Shop	B	42.735104	-73.762652
Avid_Insurance_Agency	C	42.737498	-73.844227
Albany_Urologic_Surgeons_PC	A	42.685478	-73.839067
Ramesh_West_Indian_American_Grocery_Store	C	42.799987	-73.948605
Weight_Watchers	B	42.761641	-73.750216
Algaithi_Grocery	C	42.791593	-73.92502
DCs_Pizza_&_Catering	B	42.676615	-73.824606
Chopped_&_Topped_Salads	B	42.71025	-73.81653
A_Perfect_Pet_Salon_&_Boutique	C	42.738712	-73.762781
Adirondack_Oral_Maxillofacial_Surgery	A	42.688118	-73.773156
Jj's_Cycle	C	42.724186	-73.700937
Johnson_Controls	C	42.701448	-73.8303
HomeGoods	C	42.736168	-73.764583
Price_Darin_M_DO	A	42.726884	-73.938158
Sears_Outlet_Store	C	42.695523	-73.847106
Guerra_Family_Chiropractic	A	42.745188	-73.865044
Pediatric_Dentistry_of_Albany	A	42.672993	-73.81322
Sneak_Peek_Keepsake_Ultrasound	A	42.744119	-73.837676
Trios_Pizzeria_&_Delicatessen	B	42.661061	-73.781927
Cook_Park	B	42.705821	-73.835268
Walmart	C	42.785604	-73.941729
Board_of_Cooperative_Educational_Svces	A	42.745551	-73.83634
Cdy_Albany_Pine_Hills	A	42.667288	-73.790473
Corporate_Woods_Children's_Center_Managed_By_Bright_Horizons_Inc	A	42.683319	-73.765867
Tai_Chi_&_Kung_Fu_Assoc	B	42.674534	-73.834273
Pizza_Express	B	42.676494	-73.824099
Dragon_City	B	42.676454	-73.82392
Discount_Dumpsters	E	42.772754	-73.715815
Frederick_J_Marra_DMD	A	42.769628	-73.700693
Panera_Bread	B	42.713352	-73.813801
Pizza_Hut	B	42.781579	-73.951727
Animal_House	C	42.77	-73.701732
Dott_Garage	D	42.693594	-73.804751
Upstate_Cellular_Phones	C	42.731868	-73.70723
Albany_Hypnosis_Center	A	42.721406	-73.863705
