category	latitude	longitude
CC	42.693886	-73.771925
ST	42.771623	-73.892733
K	42.710402	-73.817294
K	42.793342	-73.950533
ST	42.755777	-73.76062
ST	42.799794	-73.94804
SR	42.803489	-73.900172
ST	42.777288	-73.934013
M	42.76358	-73.75429
K	42.75355	-73.759975
SR	42.79407	-73.918943
ST	42.757919	-73.819229
ST	42.76222	-73.797467
ST	42.730988	-73.705403
ST	42.755317	-73.776643
M	42.68082	-73.763662
ST	42.740405	-73.736666
CC	42.71582	-73.831401
ST	42.683708	-73.840637
ER	42.736223	-73.796204
ST	42.755741	-73.758011
ST	42.683453	-73.795704
ST	42.689895	-73.852254
R	42.754359	-73.777574
CC	42.697388	-73.885541
ST	42.772325	-73.728146
CC	42.803595	-73.914745
SR	42.668454	-73.847577
CC	42.758698	-73.776906
ER	42.721519	-73.863519
ST	42.688504	-73.849277
K	42.715535	-73.931691
ST	42.743594	-73.749072
R	42.770781	-73.758022
SR	42.704072	-73.817911
SR	42.77634	-73.702159
K	42.725196	-73.796605
SR	42.792188	-73.912939
ST	42.771525	-73.892329
ST	42.717581	-73.812494
V	42.79429	-73.886771
WT	42.783559	-73.745354
ST	42.729512	-73.701863
CC	42.775879	-73.701746
U	42.712719	-73.755855
CC	42.698138	-73.768206
CC	42.759427	-73.82453
ST	42.748349	-73.763433
V	42.801402	-73.896799
R	42.770886	-73.823226
M	42.75789	-73.758734
SR	42.697813	-73.811796
M	42.726959	-73.855068
K	42.798046	-73.924469
ST	42.689305	-73.849295
SR	42.794454	-73.92034
ST	42.688483	-73.849244
SR	42.754202	-73.793756
G	42.816654	-73.88977
U	42.815866	-73.892842
G	42.708839	-73.818266
SR	42.73247	-73.761746
K	42.804701	-73.919195
V	42.766229	-73.939594
ST	42.683819	-73.838831
H	42.768478	-73.760042
ST	42.752867	-73.762948
SR	42.800007	-73.925656
ST	42.770588	-73.823602
ST	42.695167	-73.878799
K	42.74895	-73.763545
X	42.733236	-73.86603
M	42.689147	-73.851127
M	42.726639	-73.851392
K	42.74371	-73.837823
K	42.714549	-73.719006
M	42.734091	-73.762757
K	42.773905	-73.895809
R	42.74897	-73.765253
K	42.731272	-73.706467
K	42.689574	-73.850341
K	42.729356	-73.796755
K	42.774827	-73.891998
G	42.794654	-73.929453
M	42.718437	-73.819013
G	42.786909	-73.711813
CC	42.750788	-73.757955
ST	42.694782	-73.846984
K	42.723501	-73.801217
G	42.773725	-73.825096
ST	42.732963	-73.710283
ER	42.747183	-73.815181
CC	42.803159	-73.901156
ST	42.80478	-73.905497
