occupation	latitude	longitude	zipcode
Albany_Surgery_Associates	A	42.655323	-73.804851	12208

Troy_Nails_and_Tan	B	42.738586	-73.676247	12180

Amazing_Intimate_Essentials	C	42.738935	-73.685905	12180

Desperate_Annie's	B	43.082021	-73.784539	12866

BodyBrite	B	42.628596	-73.813732	12054

CVS	A	42.664568	-73.789351	12208

Central_Veterinary_Hospital	A	42.666894	-73.775856	12206

Schaffer_Library	B	42.816672	-73.928359	12308

Buddha_Noodle	B	43.082757	-73.784248	12866

Phone_Wizard	D	42.984756	-73.787294	12020

PowerPillarsV	B	43.105758	-73.77185	12866

Olde_Saratoga_Home_&_Garden	C	43.103171	-73.641921	12866

VENT_Fitness_Clifton_Park	B	42.869616	-73.82391	12065

Capital_Financial_Advisors	A	42.874307	-73.778638	12065

Victorious_Life_Christian_Church	A	42.731901	-73.687052	12180

Justa_Shelly	A	42.868279	-73.771781	12065

Speedway	C	42.678695	-73.788752	12206

N_A_P_A_Schenectady_Unit_Parts	C	42.837485	-73.935635	12302

Gavin_JH_Orr_Companies	C	42.885332	-73.911925	12302

Nails_N_Beyond	B	42.740069	-73.656685	12180

Heavenly_Nails	B	42.870904	-73.931281	12302

Jolie_Patricia_L_DO	A	42.630637	-73.702987	12144

Gratefull_Glass	C	42.609251	-73.72569	12144

Atlantis_Insurance_Agency	C	42.869537	-73.771471	12065

Yip's_Chinese_Restaurant	B	42.623073	-73.737911	12144

Hackett_Park	B	42.672042	-73.741996	12204

Sotheby’s_International_Realty	C	43.077676	-73.785899	12866

Cumberland_Farms	C	42.786634	-73.997539	12306

Ember_Hair_and_Beauty	B	42.868682	-73.926608	12302

Chontong_Thai	B	42.629389	-73.810542	12054

OneVision_Solutions	C	42.679875	-73.69569	12180

Extra_Innings_Saratoga	B	42.966193	-73.861554	12020

Aurora's_Willow_Creek	C	42.73209	-73.690457	12180

Bethlehem_Counseling_Associates	A	42.628339	-73.814807	12054

George_H_Pickett_Field	B	42.907016	-73.698976	12118

Kim's_Restaurant	B	42.659863	-73.780149	12208

The_UPS_Store	C	42.643537	-73.69968	12144

Saint_Agnes_Cemetery	B	42.703765	-73.724036	12204

Saratoga_Regional_Young_Men's_Christian_Association	A	43.066985	-73.800472	12866

Capital_Region_Hypnosis	A	42.628875	-73.815024	12054

Benevento_Pizza_Cafe	B	42.838916	-73.93665	12302

Ebenezer_Hair_Salon	B	42.663579	-73.77178	12206

Better_Body_Works	D	42.813486	-73.93347	12308

Pizza_7	B	43.082297	-73.784577	12866

Wellness_Center_of_Saratoga	B	43.086968	-73.806871	12866

The_Shop	D	42.776769	-73.973406	12306

Primo_Pizzeria_&_Italian_Specialties	B	43.120165	-73.725717	12866

Four_Seasons_Taproom	B	42.631775	-73.702151	12144

Allen_Financial_Consultants	A	42.8461	-73.758681	12065

518_Convenience	C	42.748549	-73.681377	12180

Planet_Fitness	B	42.873706	-73.9283	12302

Domestic_Aplnc	E	42.716994	-73.691929	12180

Green_Witch_Vape	A	43.003726	-73.849169	12020

Tretter_CPA	A	42.904131	-73.777673	12065

Speedway	C	42.86939	-73.932025	12302

Hannaford_Food_And_Drug	A	43.096905	-73.746811	12866

Ten_Perfect_Nails_and_Spa	B	42.60653	-73.722382	12144

Asian_Arts_Tai_Chi	A	42.677448	-73.778967	12206

State_Farm	C	42.9038	-73.795494	12019

Heaven_on_Earth_Beauty_Salon	B	42.665582	-73.773861	12206

Scotia_Head_Start	A	42.850488	-73.946508	12302

The_Comedy_Works	A	43.081126	-73.785408	12866

Lily_Saratoga	C	43.08251	-73.789618	12866

Breathe_Massage_Therapy	B	42.624907	-73.829629	12054

Clinical_Prosthetics_&_Orthotics	A	42.654096	-73.782097	12208

Gas_Tank_Renu	D	42.667115	-73.768066	12206

Jeffrey_H_Stern_MD_PhD_Capital_Region_Retina	A	42.686211	-73.812399	12206

Best_Floor_Refinishing	A	43.084876	-73.789265	12866

Primerica	A	42.904169	-73.777651	12065

House_of_Polish_Nails_&_Spa	B	42.974725	-73.79053	12020

Submaker	B	42.706357	-73.712575	12204

Bellevue_Gospel_Chapel	A	42.787728	-73.97005	12306

James_and_Sons_Tobacconists	C	43.080468	-73.78555	12866

CrossFit_Soulshine	A	43.088542	-73.77716	12866

First_Church_of_Christ_Scientist	A	42.811856	-73.922672	12308

Mia_Fresco	B	42.686833	-73.729297	12204

A_Golden_Dragon	B	42.660789	-73.782699	12208

Anchor_Diamond_Park	B	42.939525	-73.874511	12019

Jenny_Spa_Asian_Bodywork	B	42.855757	-73.782614	12065

Geisler_Warren_S_DDS_PC	A	42.655314	-73.80485	12208

Mechanicville_House_of_Pizza	B	42.900153	-73.692929	12118

Allstate_Insurance	C	42.620935	-73.736468	12144

Sun_City_Tanning	B	42.661217	-73.790008	12208

Love_Cuts	B	42.753547	-73.68221	12180

AT&T	C	42.97155	-73.798024	12020

Aflac_Michelle_Nolan	C	42.867131	-73.777958	12065

Subway	B	42.679845	-73.790829	12206

Stewart's_Shops	C	43.120025	-73.725885	12866

Rugoff_Jay_Chirprctr	A	42.66926	-73.784428	12206

Ballston_Spa_Country_Club	B	43.002508	-73.874655	12020

New_Attitudes	B	43.080667	-73.785406	12866

Kreative_Kidz_Zone_Program_Inc	A	42.665329	-73.701818	12144

Chase	C	42.864264	-73.781492	12065

Dollar_General	C	42.798104	-73.964986	12306

Titanic_Market	C	42.756494	-73.681289	12180

Rensselaer_Police_Department_Rensselaer_New_York	A	42.638861	-73.747217	12144

Vast_Horizons_Communications	C	42.975104	-73.939135	12020

Sakura_Hibachi_Steakhouse_&_Sushi_Bar	B	42.859398	-73.779765	12065

Dance_Works_of_Troy	B	42.732851	-73.687839	12180

Milestones_Early_Childhood_Center_Of_Ballston_Spa_Llc	A	43.029605	-73.919756	12020

State_Forest_Preserve	B	43.107913	-73.734231	12866

Country_View_Diner	B	42.751981	-73.629298	12180

ITS_WorkSpace	B	43.078932	-73.79305	12866

Waggin'_Tails_Grooming	C	42.785939	-73.958044	12306

A_&_A_Auto	C	42.767585	-73.676949	12182

Rain_Nails_&_Spa	B	43.078369	-73.805673	12866

Eden_Jewelers	C	42.681581	-73.790421	12206

Orenda_Elementary_School	A	42.86616	-73.810778	12065

GameStop	C	42.744851	-73.64192	12180

Friendlys_Nail_&_Spa	B	42.860298	-73.935742	12302

Boys_And_Girls_Club_Of_Schenectady_Yates_Village	A	42.828514	-73.921509	12308

Edward_Jones	A	42.849525	-73.756829	12065

Walgreens	A	42.653524	-73.773941	12208

Domestic_Violence_Services_Saratoga_Rape_Crisis_program	B	43.083721	-73.784124	12866

Motel_6	B	42.679143	-73.783297	12206

Price_Chopper_New_England	C	42.973074	-73.795024	12020

Caliber_Collision	D	42.740734	-73.678952	12180

Carbone_Subaru	C	42.748024	-73.635466	12180

Courtney_Vogel	B	43.082662	-73.782962	12866

Autopart_International	C	42.756115	-73.67628	12180

Albany_Medical_Center	A	42.653153	-73.776122	12208

Harmony_Hypnosis	A	43.035925	-73.831307	12866

Cardiology_Associates_of_Schenectady_PC	A	42.869203	-73.807186	12065

Gene's_Fish_Fry	B	42.644075	-73.69805	12144

Dave's_Glass_Co	A	42.627464	-73.809734	12054

Plush_Hair_Studio	B	42.859646	-73.934513	12302

All_Star_Transportation	B	42.66251	-73.768019	12206

Sunoco	C	42.690937	-73.821805	12206

