occupation	latitude	longitude	zipcode
Redwood_Lanes	B	42.71481	-73.828575
Beauty_Plus_Salon	B	42.687855	-73.84729
C_Callahan_Agency	C	42.781773	-73.954023
Cumberland_Farms	C	42.768893	-73.914849
Bake_For_You	E	42.658828	-73.768846
WeHair_Beauty_Bar	B	42.799961	-73.948101
Mild_Wally's	B	42.662293	-73.777075
All_4_Fun	A	42.763612	-73.808596
Pro_tech_automatic_lawn_sprinklers	C	42.685541	-73.783449
Camp_Bow_Wow	B	42.704323	-73.828302
Advantage_Sport_&_Fitness	C	42.757299	-73.758587
Claire's	C	42.710449	-73.816166
Super_Mart	C	42.715549	-73.831005
Miles_and_Styles_Barbershop	B	42.791709	-73.934736
Eddie's_Aquarium_Centre	B	42.8009	-73.733903
Advanced_RV_Repair	C	42.756153	-73.808036
Charlie's_West_Indian_Bakery_&_Restaurant	B	42.794878	-73.920818
Shoss_Robert_G	A	42.684739	-73.837748
Image_Guided_Radiation_Therapy	A	42.758726	-73.776904
Goldilocks_Promos	E	42.751602	-73.776767
JCPenney_Optical	A	42.689208	-73.849774
FUCCILLO_LINCOLN_INC	C	42.765422	-73.886644
Venetian_Nails_Spa	B	42.735945	-73.764313
Bridal_Gallery_By_Yvonne	C	42.756414	-73.757684
Fiqh_Mosque_Inc	A	42.733492	-73.70831
Dollar_Tree	C	42.771116	-73.893966
Automedics	D	42.688207	-73.800795
CoreLife_Eatery	B	42.753143	-73.766986
Mobil	C	42.753566	-73.771388
Armory_Jeep_Wrangler	C	42.681037	-73.793864
Great_Wall	B	42.784103	-73.918558
Radiance_Hot_Yoga	B	42.727567	-73.759808
Hair_by_Cortney	B	42.714084	-73.828315
Bella_Hair_Salon	B	42.706801	-73.777757
Edge_City_Barber_Shop	B	42.800023	-73.925656
Lab_Corp	A	42.689355	-73.774668
Kiernan's_Craft_Tavern	B	42.757196	-73.761489
A_Magic_Kingdom	A	42.786783	-73.902004
The_Holistic_Network	A	42.666101	-73.789474
Sunoco	C	42.735114	-73.701118
Golden_Wok_Restaurant	B	42.757187	-73.761211
Glennpeter_Jewelers	C	42.710072	-73.816776
Art_Threading_Salon	B	42.712727	-73.827999
Dejavu	C	42.71723	-73.831995
Vachon_Francois_DO	A	42.725673	-73.936264
Colonie_Youth_Center_Inc_Loudonville_School	A	42.706019	-73.756538
Nexgen_Wireless	C	42.708799	-73.817214
Big_Lots_Stores	C	42.732874	-73.855398
Kennedy_Ophthalmology_Associates	A	42.830041	-73.9034
AT&T	C	42.689602	-73.850417
Pombo_Insurance_Services	C	42.720042	-73.807733
Latham_Center	C	42.757238	-73.769073
Studio_Orlo	B	42.814921	-73.893048
25_Silver_Boutique	C	42.684509	-73.839147
Casa_De_Richani	A	42.80364	-73.864601
Allan_L_Nahman_DDS	A	42.674397	-73.815341
Relish_Experience	B	42.718481	-73.807644
King_Cork_Wine_&_Liquor	C	42.784241	-73.917989
Schenectady_Center_For_Rehabilitation_And_Nursing	B	42.791178	-73.932414
Eagle_Point_Elementary_School	A	42.673639	-73.816217
Joseph_Krongold_Sunrise_Realty_Advisors	C	42.705121	-73.857411
Appletinis_Cafe	B	42.689743	-73.801689
Adirondack_Tire_&_Service	C	42.748948	-73.890079
Larry's_Foreign_Auto_Service	D	42.683114	-73.781913
Kellie_Kieley_Realty	C	42.682779	-73.841932
Burlington	C	42.747986	-73.763642
New_Panda	B	42.799301	-73.947722
Maurice's_Sandwich_Shop	B	42.718478	-73.805611
Allstate_Insurance	C	42.693583	-73.774509
Blockbuster_Video	C	42.756043	-73.758629
Homedical_Associates	A	42.803457	-73.9002
Higher_Hope_Church_Of_God_In_Christ	A	42.773246	-73.898274
Union_Street_Office	C	42.803572	-73.900153
Home_Outlet	C	42.699163	-73.824371
Aéropostale	C	42.689246	-73.850035
Smokers_Choice	C	42.737133	-73.761757
WellNow_Urgent_Care_Latham	A	42.748087	-73.761842
Blood_Banks_Association_Of_New_York_State	A	42.727911	-73.93376
Spaulding_Computers	D	42.691352	-73.802568
CVS	A	42.756281	-73.7704
Spencer_Gifts	C	42.689208	-73.849817
Anesthesia_Group_of_Albany_PC	A	42.680039	-73.837303
Tipsy_Moose_Tap_&_Tavern	B	42.746258	-73.759119
The_Coffee_Beanery	B	42.710425	-73.816315
Leslie_Botta_DC	A	42.721451	-73.863616
Choice_One_Chiropractic	A	42.753078	-73.777475
Hemberger_Michael_Photographer	A	42.829617	-73.895017
Supercuts	B	42.735926	-73.764444
Latham_Table_Pad_Company	C	42.770285	-73.788898
Albany_Ninja_Lab	B	42.696499	-73.847376
Falc_Cathrine_Chirprctr	A	42.829803	-73.892262
St_Peter_&_St_Paul_Ukranian_Catholic_Church	A	42.773696	-73.695049
Kids_&_Family_Dental	A	42.713562	-73.813521
Sunbelt_Rentals	C	42.731083	-73.795521
Wheelers_Accessible_Vans	B	42.701695	-73.824608
Regal_Entertainment_Group	A	42.710979	-73.816671
Pustolkas_Tavern	B	42.789127	-73.929361
Smokers_Choice	C	42.701031	-73.819365
SICAP_Industries	A	42.71372	-73.844773
CoreLife_Eatery	B	42.71655	-73.808955
Shaker_Ridge_Country_Club	B	42.751233	-73.825663
Primal	C	42.684004	-73.838625
Rotterdam_Family_Chiropratic	A	42.782561	-73.953109
3_Stone_Dentistry_&_Implants	A	42.754403	-73.773063
Allstate_Insurance	C	42.721763	-73.837152
International_Guitar_Museum_And_Hall_Of_Fame	B	42.727513	-73.75983
Deangelo's_Ristorante	B	42.791128	-73.939341
Red_Kap	C	42.705695	-73.777011
Yuan_Sushi	B	42.771945	-73.700559
Sherwin-Williams	C	42.714618	-73.845058
Land_Rover_Albany	C	42.729478	-73.853502
Eddy_Village_Green	B	42.775733	-73.725679
Sherry's_Kitchen	C	42.695935	-73.808598
Fifi's_Frocks_&_Frills	C	42.690917	-73.867758
Subway	B	42.746667	-73.763696
St_Lukes_Catholic_Church_Outreach	A	42.799013	-73.924035
Ram_Orthotic_&_Prosthetic_Lab	A	42.826251	-73.90811
Fort_Hunter	B	42.750528	-73.946843
Albany_Complementary_Health	B	42.697405	-73.885536
Gel_Nail_Salon	B	42.803167	-73.900069
Stewart's_Shops	C	42.781268	-73.904259
Kingsway_Community	B	42.776045	-73.913115
Ghi_Family_Dental_Practice	A	42.693121	-73.873266
CrossFit	B	42.713918	-73.810193
Best_Fire_Hearth_&_Patio	C	42.726856	-73.844001
Rent-A-Center	C	42.782468	-73.941938
IRwise_Imaging	A	42.693066	-73.873337
ABC_Supply	C	42.725537	-73.850401
Holmes_Michael_B	A	42.830734	-73.891029
Pershing_Green_Memorial_Park	B	42.710344	-73.707852
Annette_Bridals	C	42.713402	-73.828657
Northeastern_Insurance_Agency	C	42.771478	-73.823349
